rho,capacidad_cola,teorico,python_media,anylogic
0.25,0,0.2,0.19601292088217306,
0.25,2,0.011764705882352941,0.011096267661881891,
0.25,5,0.00018311664530305805,6.706908115358821e-05,
0.25,10,1.7881394498431355e-07,0.0,
0.25,50,1.4791141972893971e-31,0.0,
0.5,0,0.3333333333333333,0.3279613654364384,
0.5,2,0.06666666666666667,0.06801030170212975,
0.5,5,0.007874015748031496,0.0089885502853953,
0.5,10,0.0002442002442002442,0.000510449089342924,
0.5,50,2.2204460492503136e-16,0.0,
0.75,0,0.42857142857142855,0.4229648917371688,
0.75,2,0.15428571428571428,0.15619196638982616,
0.75,5,0.05134887652320913,0.0480216383592607,
0.75,10,0.010904188935277018,0.009904942832721779,
0.75,50,1.0618534440602214e-07,0.0,
1.0,0,0.5,0.4992915435526784,
1.0,2,0.25,0.251395012642622,
1.0,5,0.14285714285714285,0.14576828894229193,
1.0,10,0.08333333333333333,0.08323828491822466,
1.0,50,0.019230769230769232,0.01523481431680559,
1.25,0,0.5555555555555556,0.5563873899585462,
1.25,2,0.33875338753387535,0.3400585011042406,
1.25,5,0.25307332242756025,0.25180169803284425,
1.25,10,0.21475806161931713,0.2175888110795099,
1.25,50,0.20000182689373422,0.18693017999014086,
